#{"t_start": 1776786092.6817632, "env_id": "None"}
r,l,t
153.64136,516,342.664301
-39.950535,326,343.500997
189.00037,479,344.125389
-87.006256,387,344.203575
187.78159,536,344.395746
-69.80914,410,344.549856
175.42953,528,344.763348
179.47595,984,345.243573
-72.76518,401,346.247603
-62.032467,396,346.738719
202.28583,576,346.875139
-22.87944,389,347.577741
224.65053,652,348.412417
56.044666,1000,348.459267
211.00565,470,348.971222
174.68375,495,349.460238
-83.77244,356,349.529721
190.46222,493,349.545229
82.07912,1000,349.642976
118.00052,1000,349.739992
-73.626144,367,351.309
203.7904,471,352.038113
169.4035,501,352.623804
137.69203,771,352.837273
182.69719,572,353.195
43.602997,1000,354.096416
50.670116,1000,354.66346
229.34796,481,354.967649
80.069336,1000,355.408304
-24.248863,425,355.779995
166.31052,551,355.931503
-69.942566,398,356.541524
-134.32527,397,357.039657
-64.62652,359,357.084871
-96.60468,310,357.185048
88.04887,1000,357.44623
-88.63074,332,357.557082
165.66225,460,358.310838
43.85557,1000,358.427823
-46.767426,386,359.021397
182.50067,510,359.185066
227.73056,459,359.372248
196.73276,416,359.523888
-83.94012,497,359.620447
-7.3784866,299,359.715924
153.6806,459,360.481493
-71.086624,378,360.657681
-49.655167,268,360.897336
220.48923,357,361.158048
183.34239,430,361.185727
-70.519104,253,361.601498
-101.835205,501,361.635307
222.28369,581,361.656627
89.26885,1000,362.008365
-62.059307,390,362.250144
-65.88234,320,362.462629
-53.22824,282,362.813404
178.24567,404,362.840427
-74.55761,383,363.270823
182.21019,403,363.444059
171.07437,624,363.637397
-31.714752,252,363.972411
-75.71968,341,364.421256
158.33232,541,364.52207
-81.502495,345,364.90402
-119.67669,532,365.018997
125.36561,360,365.138968
-66.03056,241,366.11975
-62.50607,383,366.598881
205.09702,592,367.29534
44.82015,1000,367.581558
229.05031,492,368.054288
-53.492466,231,369.239675
13.876818,1000,369.681718
-83.17746,446,370.662068
98.574875,1000,371.111898
-21.135336,1000,372.17235
-113.59926,552,372.297301
-50.234318,430,372.571076
-98.110275,306,372.879758
216.90591,464,373.101142
-85.7736,316,373.266994
47.094795,1000,373.349
26.745758,1000,373.614014
-88.71421,326,374.097677
-157.5261,436,374.464047
-87.75771,375,374.622492
-82.55433,240,374.710194
190.9578,398,375.151406
108.64803,591,375.157373
-46.954483,268,375.414874
-32.945366,295,375.854582
232.54065,351,376.285732
-137.1268,383,376.548314
-63.079666,166,376.706604
236.88469,362,376.896674
221.95424,365,376.923213
-103.57799,335,377.037578
-54.302338,233,377.603135
96.906525,1000,377.739894
209.94559,339,377.850156
64.95128,1000,377.856977
-72.49126,360,378.152206
199.71648,386,378.395692
-69.80791,265,378.571202
211.89203,430,378.571249
-17.056229,257,378.632251
185.15253,372,379.15608
185.33728,413,379.347618
-77.78467,363,379.573496
-109.84369,325,379.696203
-66.95715,295,379.824709
-92.315956,319,379.84274
230.41263,362,380.000973
-61.43538,269,380.236705
-64.356674,259,380.343537
-71.506676,283,380.902876
48.19982,1000,380.911883
-64.6151,224,381.146375
217.70581,433,381.296145
181.81586,460,381.684114
-21.215927,309,381.684157
-108.74852,314,382.336702
204.43945,411,382.875271
198.81741,400,383.131073
-66.3065,295,383.198701
207.77963,403,383.302969
-100.00521,410,383.734363
29.309929,1000,384.262431
