#{"t_start": 1776786956.2816849, "env_id": "None"}
r,l,t
-36.465485,218,49.640879
13.901115,229,49.779589
4.3366394,172,49.832296
-25.024628,171,49.870346
28.790543,136,49.896619
12.916733,207,49.935692
-27.399353,195,50.063527
-21.411217,134,50.157258
-57.039185,165,50.17716
0.61563873,160,50.354165
-25.8863,188,50.38418
-28.158302,175,50.581112
-14.632217,168,50.681731
19.397797,166,50.703704
-80.09552,112,50.729177
-70.48015,177,51.010517
-33.18463,124,51.164175
-22.13478,159,51.186902
-60.0666,140,51.256158
-89.02444,128,51.58978
-60.467583,128,51.773822
-26.487122,141,51.872327
-33.371307,107,52.169158
15.894424,111,55.380048
23.807617,130,55.889237
9.567741,132,56.343149
-2.4184208,1000,56.43054
50.202972,1000,56.939273
20.982391,161,56.988964
35.537994,110,57.090299
-2.3659668,151,57.262223
103.58162,1000,57.585966
-12.478294,164,57.979101
-26.389915,201,58.14495
-21.634964,95,58.145
-67.00792,225,58.621863
-3.3191376,126,58.72327
-17.162796,159,59.111458
-32.538414,186,59.287324
80.17796,1000,59.403613
-3.9514694,138,59.550593
-57.782642,195,59.766299
-64.79748,177,60.104572
84.8067,1000,60.118378
-60.10247,156,60.134818
-20.86779,192,60.385655
-53.925697,164,60.3912
88.85089,1000,60.595559
-73.43948,181,60.635379
40.237747,179,60.834183
0.42307281,188,60.85873
-0.13536835,132,60.883139
-59.265236,226,63.636283
7.4584503,185,63.871257
-5.686165,174,63.879103
1.3779526,159,64.047695
-48.303303,172,64.1333
-27.485107,146,64.509931
69.90593,1000,64.763475
-0.1952591,180,64.87763
8.837868,294,64.901252
24.597672,172,64.922943
-139.15494,308,65.186651
51.994797,154,65.341885
12.473686,157,65.495301
-72.60103,163,65.495341
-24.319214,149,65.984859
-14.91642,145,66.157456
-48.840794,157,66.221131
12.791428,133,66.720678
-111.799194,170,67.254942
-130.02301,197,67.353367
76.119545,1000,67.6085
88.79316,1000,68.379862
-141.85208,292,68.502457
-62.17811,199,68.535917
-76.16115,222,71.23533
-106.330635,224,71.491474
-5.457344,151,71.776927
26.322487,142,71.916316
37.522354,173,72.006009
-4.9400616,1000,72.261615
-54.67095,153,72.53276
-74.45152,224,72.583665
92.86103,1000,72.690315
0.52900696,161,72.70116
-0.7648926,151,72.727266
26.600203,1000,72.924722
15.238579,191,73.000953
28.083252,131,73.021869
-34.307045,151,73.045324
-86.91359,126,73.067197
17.439499,183,73.226568
15.263031,212,73.323424
8.260071,156,73.331656
23.0262,161,73.501439
-6.076256,219,73.591532
23.52983,155,73.654101
-77.45713,255,73.724684
37.077225,184,73.848191
19.692406,114,73.928366
-10.53495,208,73.928408
-0.057495117,169,73.995253
-8.3057785,176,74.254539
6.7725677,132,74.342143
32.290573,159,74.435479
25.972237,168,74.548588
-39.55504,221,74.561983
21.620243,1000,74.799094
3.114769,171,77.617507
-29.807968,206,77.650496
14.505379,195,77.786118
-43.6089,169,77.804764
-162.1678,251,78.094853
-33.24798,141,78.311855
-38.498913,201,78.362471
-33.472214,110,78.535898
-6.0411224,124,78.886062
40.4738,142,79.04259
84.40048,1000,79.207175
-24.681053,169,79.390466
32.922592,163,79.873644
-2.145485,169,80.317164
54.52816,1000,80.407422
-162.08838,220,81.164744
14.015816,160,81.258471
9.626976,169,81.41815
-32.66893,171,82.469311
-15.102493,158,82.552807
-12.053032,203,82.613194
36.659706,1000,82.743474
-201.46964,940,82.955115
77.890816,1000,83.00551
-21.403908,122,85.962358
24.136917,214,86.305656
-27.719704,205,86.549527
-70.03365,223,86.66943
18.190414,223,86.965242
62.483276,1000,87.149688
-2.2890472,183,87.180159
20.013252,156,87.263411
26.455935,1000,87.383776
-28.748032,182,87.655657
-72.68135,212,87.919375
9.932861,211,88.184527
-89.34952,320,88.53551
