#{"t_start": 1777134227.1996357, "env_id": "None"}
r,l,t
-18.0,477,286.500844
-19.0,371,286.766064
-20.0,512,286.820438
-20.0,475,286.841953
-19.0,501,287.690704
-21.0,298,288.278785
-20.0,415,289.945969
-21.0,373,289.991749
-20.0,449,290.392189
-18.0,478,290.94524
-17.0,487,291.0477
-13.0,581,291.302798
-20.0,414,291.86454
-19.0,582,292.724893
-19.0,398,293.404238
-20.0,451,293.899831
-20.0,367,294.473205
-17.0,480,294.557778
-18.0,494,295.238048
-21.0,566,295.956103
-17.0,518,296.353646
-21.0,471,296.814568
-19.0,406,296.940168
-20.0,388,297.286173
-18.0,401,298.045646
-19.0,415,298.09741
-21.0,371,298.474509
-19.0,427,299.668716
-20.0,387,299.731099
-20.0,404,300.335285
-19.0,387,300.648352
-20.0,472,301.042423
-18.0,386,301.440007
-19.0,495,302.743678
-19.0,605,313.190478
-18.0,483,313.750843
-16.0,435,313.999105
-20.0,536,314.27076
-20.0,435,314.322273
-19.0,529,315.522091
-19.0,512,315.777485
-18.0,478,317.322684
-15.0,576,317.637847
-21.0,430,317.724677
-17.0,485,317.962045
-19.0,430,318.046003
-18.0,494,318.561231
-19.0,517,320.00625
-18.0,494,320.069432
-19.0,401,321.124917
-19.0,484,321.533753
-18.0,504,322.098163
-19.0,417,322.174517
-19.0,541,322.656499
-20.0,537,322.704006
-20.0,485,324.208797
-17.0,545,324.773978
-18.0,434,324.887142
-20.0,388,324.906055
-21.0,465,326.67545
-21.0,523,326.697298
-18.0,541,326.789746
-19.0,560,327.543979
-21.0,385,328.11979
-20.0,500,328.549449
-21.0,455,328.848618
-15.0,644,330.462434
-19.0,476,340.834441
-17.0,551,341.388121
-19.0,642,342.20216
-19.0,597,342.670486
-20.0,483,342.683672
-19.0,553,342.873044
-18.0,494,343.087795
-21.0,504,345.092531
-19.0,508,345.674344
-19.0,445,345.939355
-17.0,660,346.014332
-17.0,482,346.912799
-16.0,552,347.34152
-20.0,522,347.473681
-16.0,579,347.572897
-19.0,473,349.77198
-19.0,595,350.246126
-20.0,546,350.735248
-18.0,579,350.958442
-19.0,482,351.097336
-20.0,498,351.785809
-16.0,537,352.225329
-19.0,568,352.273762
-19.0,566,354.675545
-17.0,550,355.016405
-18.0,558,355.570152
-16.0,535,355.596295
-17.0,595,356.239828
-20.0,498,356.571595
-19.0,558,356.624214
-17.0,571,357.170803
